timestamp,user,role,ip,action,status,resource
2025-12-12 17:05:21,public_guest,guest,172.16.0.5,view_page,success,about
2025-12-12 17:05:21,public_guest,guest,172.16.0.5,view_page,success,about
2025-12-14 10:37:21,customer_102,user,192.168.1.6,view_page,success,products
2025-12-14 10:37:21,customer_102,user,192.168.1.6,view_page,success,products
2025-12-17 11:30:21,customer_102,user,192.168.1.6,download_report,success,sensitive_data
2025-12-17 11:30:21,customer_102,user,192.168.1.6,download_report,success,sensitive_data
2025-12-14 16:57:21,customer_102,user,192.168.1.6,view_page,success,home
2025-12-14 16:57:21,customer_102,user,192.168.1.6,view_page,success,home
2025-12-16 16:32:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-16 16:32:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-16 18:36:21,customer_102,user,192.168.1.6,view_page,success,products
2025-12-16 18:36:21,customer_102,user,192.168.1.6,view_page,success,products
2025-12-16 11:06:21,customer_102,user,192.168.1.6,view_page,success,home
2025-12-16 11:06:21,customer_102,user,192.168.1.6,view_page,success,home
2025-12-15 17:02:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-15 17:02:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-14 17:28:21,customer_101,user,192.168.1.5,view_page,success,products
2025-12-14 17:28:21,customer_101,user,192.168.1.5,view_page,success,products
2025-12-17 12:47:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-17 12:47:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-17 19:35:21,public_guest,guest,172.16.0.5,view_page,success,products
2025-12-17 19:35:21,public_guest,guest,172.16.0.5,view_page,success,products
2025-12-14 10:34:21,customer_102,user,192.168.1.6,view_page,success,products
2025-12-14 10:34:21,customer_102,user,192.168.1.6,view_page,success,products
2025-12-11 14:57:21,customer_101,user,192.168.1.5,view_page,success,products
2025-12-11 14:57:21,customer_101,user,192.168.1.5,view_page,success,products
2025-12-15 11:33:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-15 11:33:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-13 16:49:21,customer_101,user,192.168.1.5,login,success,login_page
2025-12-13 16:49:21,customer_101,user,192.168.1.5,login,success,login_page
2025-12-15 18:27:21,customer_101,user,192.168.1.5,view_page,success,products
2025-12-15 18:27:21,customer_101,user,192.168.1.5,view_page,success,products
2025-12-13 14:34:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-13 14:34:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-14 19:31:21,customer_101,user,192.168.1.5,view_page,success,products
2025-12-14 19:31:21,customer_101,user,192.168.1.5,view_page,success,products
2025-12-12 14:17:21,customer_102,user,192.168.1.6,view_page,success,products
2025-12-12 14:17:21,customer_102,user,192.168.1.6,view_page,success,products
2025-12-17 14:12:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-17 14:12:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-14 18:54:21,public_guest,guest,172.16.0.5,view_page,success,about
2025-12-14 18:54:21,public_guest,guest,172.16.0.5,view_page,success,about
2025-12-16 08:45:21,customer_101,user,192.168.1.5,login,success,login_page
2025-12-16 08:45:21,customer_101,user,192.168.1.5,login,success,login_page
2025-12-17 13:42:21,public_guest,guest,172.16.0.5,view_page,success,products
2025-12-17 13:42:21,public_guest,guest,172.16.0.5,view_page,success,products
2025-12-13 17:03:21,customer_102,user,192.168.1.6,view_page,success,products
2025-12-13 17:03:21,customer_102,user,192.168.1.6,view_page,success,products
2025-12-15 16:55:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-15 16:55:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-15 10:39:21,customer_102,user,192.168.1.6,view_page,success,home
2025-12-15 10:39:21,customer_102,user,192.168.1.6,view_page,success,home
2025-12-17 08:09:21,customer_101,user,192.168.1.5,view_page,success,about
2025-12-17 08:09:21,customer_101,user,192.168.1.5,view_page,success,about
2025-12-12 17:42:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-12 17:42:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-16 17:44:21,public_guest,guest,172.16.0.5,view_page,success,products
2025-12-16 17:44:21,public_guest,guest,172.16.0.5,view_page,success,products
2025-12-17 13:14:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-17 13:14:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-14 20:39:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-14 20:39:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-18 18:40:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-18 18:40:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-17 14:19:21,customer_102,user,192.168.1.6,view_page,success,about
2025-12-17 14:19:21,customer_102,user,192.168.1.6,view_page,success,about
2025-12-16 15:17:21,customer_102,user,192.168.1.6,download_report,success,sensitive_data
2025-12-16 15:17:21,customer_102,user,192.168.1.6,download_report,success,sensitive_data
2025-12-17 09:43:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-17 09:43:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-16 09:27:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-16 09:27:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-18 14:12:21,customer_101,user,192.168.1.5,view_page,success,about
2025-12-18 14:12:21,customer_101,user,192.168.1.5,view_page,success,about
2025-12-14 10:14:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-14 10:14:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-17 14:23:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-17 14:23:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-12 09:24:21,customer_101,user,192.168.1.5,view_page,success,about
2025-12-12 09:24:21,customer_101,user,192.168.1.5,view_page,success,about
2025-12-13 09:37:21,customer_102,user,192.168.1.6,view_page,success,products
2025-12-13 09:37:21,customer_102,user,192.168.1.6,view_page,success,products
2025-12-17 12:26:21,customer_101,user,192.168.1.5,view_page,success,about
2025-12-17 12:26:21,customer_101,user,192.168.1.5,view_page,success,about
2025-12-15 14:17:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-15 14:17:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-16 10:13:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-16 10:13:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-14 14:47:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-14 14:47:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-16 17:20:21,customer_102,user,192.168.1.6,view_page,success,about
2025-12-16 17:20:21,customer_102,user,192.168.1.6,view_page,success,about
2025-12-18 16:57:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-18 16:57:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-17 09:32:21,customer_101,user,192.168.1.5,view_page,success,about
2025-12-17 09:32:21,customer_101,user,192.168.1.5,view_page,success,about
2025-12-15 20:40:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-15 20:40:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-12 15:29:21,customer_101,user,192.168.1.5,login,success,login_page
2025-12-12 15:29:21,customer_101,user,192.168.1.5,login,success,login_page
2025-12-15 16:43:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-15 16:43:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-13 08:09:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-13 08:09:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-17 11:16:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-17 11:16:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-17 13:42:21,customer_101,user,192.168.1.5,view_page,success,about
2025-12-17 13:42:21,customer_101,user,192.168.1.5,view_page,success,about
2025-12-15 16:00:21,customer_102,user,192.168.1.6,view_page,success,home
2025-12-15 16:00:21,customer_102,user,192.168.1.6,view_page,success,home
2025-12-16 20:32:21,customer_101,user,192.168.1.5,login,success,login_page
2025-12-16 20:32:21,customer_101,user,192.168.1.5,login,success,login_page
2025-12-16 10:43:21,customer_101,user,192.168.1.5,login,success,login_page
2025-12-16 10:43:21,customer_101,user,192.168.1.5,login,success,login_page
2025-12-17 16:24:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-17 16:24:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-12 18:50:21,customer_102,user,192.168.1.6,view_page,success,home
2025-12-12 18:50:21,customer_102,user,192.168.1.6,view_page,success,home
2025-12-15 16:37:21,public_guest,guest,172.16.0.5,view_page,success,about
2025-12-15 16:37:21,public_guest,guest,172.16.0.5,view_page,success,about
2025-12-13 13:29:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-13 13:29:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-12 19:29:21,customer_101,user,192.168.1.5,view_page,success,about
2025-12-12 19:29:21,customer_101,user,192.168.1.5,view_page,success,about
2025-12-15 16:08:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-15 16:08:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-12 09:05:21,customer_102,user,192.168.1.6,download_report,success,sensitive_data
2025-12-12 09:05:21,customer_102,user,192.168.1.6,download_report,success,sensitive_data
2025-12-17 08:01:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-17 08:01:21,customer_101,user,192.168.1.5,view_page,success,home
2025-12-13 19:34:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-13 19:34:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-11 14:01:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-11 14:01:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-16 12:09:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-16 12:09:21,customer_102,user,192.168.1.6,login,success,login_page
2025-12-18 11:20:21,customer_102,user,192.168.1.6,view_page,success,products
2025-12-18 11:20:21,customer_102,user,192.168.1.6,view_page,success,products
2025-12-14 19:19:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-14 19:19:21,public_guest,guest,172.16.0.5,view_page,success,home
2025-12-16 10:33:21,customer_101,user,192.168.1.5,view_page,success,home
